#,Friends?,Sheath (t0),Sh/FR mix (t1),FR Start (t2),FR End (t3),Leg End (t4),Mixed End (t5),u0,u1,u2,u3,u4,u5,Enh?,HSS?,HSScat,Data Gap?,Comments
1,2,1995-02-07T18:48,1995-02-08T03:21,1995-02-08T04:44,1995-02-08T21:00,-,1995-02-09T01:34,1,-,0,2,-,2,N,N,-,A,Fairly straightforward weak case
2,1,1995-02-09T01:34,,1995-02-09T07:17,1995-02-10T01:21,-,1995-02-10T04:00,1,-,1,2,-,1,N,N,-,A,Weak with little B rotation
3,-,1995-03-04T00:36,,1995-03-04T11:23,1995-03-05T00:09,-,1995-03-05T03:06,1,-,0,2,-,1,N,N,-,A,Could move FR/mixed bound
4,-,1995-03-06T02:11,,1995-03-06T07:11,1995-03-07T02:23,-,-,1,-,1,1,-,-,N,N,-,A,Fairly straightforward weak case
5,-,1995-03-23T09:45,,1995-03-23T22:11,1995-03-24T16:11,-,-,1,-,2,1,-,-,N,N,-,A,Ugly but probably a thing
6,-,1995-04-01T13:46,,1995-04-01T16:34,1995-04-02T03:21,-,1995-04-02T05:43,2,-,1,2,-,1,M,N,-,A,Little B rotation but smooth
7,-,1995-04-03T06:43,,1995-04-03T12:45,1995-04-04T12:52,-,-,2,-,1,1,-,-,N,N,-,A,Weak with little B rotation
8,-,1995-04-05T07:11,,1995-04-05T17:59,1995-04-06T12:31,-,1995-04-06T17:15,2,-,1,2,-,2,N,N,G,A,Weak case
9,-,-,,1995-05-13T10:19,1995-05-13T15:28,-,1995-05-13T16:54,-,-,1,2,-,2,N,N,-,A,Weak with little B rotation. Could add sheath?
10,-,1995-06-30T09:21,1995-06-30T14:23,1995-06-30T21:34,1995-07-01T06:59,-,1995-07-01T12:42,1,-,1,2,-,2,M,N,-,A,Fairly turbulent. Interacting with next?
11,-,-,,1995-07-01T21:00,1995-07-02T10:26,-,1995-07-02T16:08,-,-,2,2,-,-,N,N,-,A,Weak case. Could add sheath? Interacting with prev?
12,-,1995-08-22T12:56,,1995-08-22T22:19,1995-08-23T18:43,-,-,1,-,2,2,-,-,N,N,-,A,Weak case
13,-,-,,1995-09-15T18:17,1995-09-16T03:09,-,-,-,-,1,2,-,-,N,?,G,AW,Weak with little B rotation. DG in Wind plasma so uncertain what behind
14,-,1995-09-27T09:21,1995-09-27T11:48,1995-09-27T14:00,1995-09-27T21:00,-,-,1,-,1,1,-,-,N,N?,-,A,SW v elevated behind but not that fast?
15,-,1995-10-18T10:40,,1995-10-18T19:11,1995-10-19T17:54,-,1995-10-20T01:48,0,-,0,2,-,2,N,Y?,G,A,HSS behind? Actually interacting?
16,-,-,,1995-12-02T12:30,1995-12-02T19:02,-,1995-12-02T21:55,-,-,1,2,-,3,N,N,-,A, 
17,-,1995-12-15T14:52,1995-12-16T00:28,1995-12-16T07:11,1995-12-16T19:11,-,1995-12-16T22:17,2,-,2,2,-,3,N,M,-,A,Might be multi CMEs? Take Dreams as sheath and current ICE sheath as bonus FR? Ugly but phi/T sigs
18,-,-,,1996-02-15T15:40,1996-02-15T19:55,1996-02-16T03:25,1996-02-16T08:59,-,-,2,2,-,3,N,M?,-,AW,Weak case. DG in Wind and looks like might be something behind.
19,-,-,,1996-04-04T12:21,1996-04-04T20:56,-,-,-,-,1,2,-,-,N,N,-,A,Fairly turbulent
20,-,1996-05-16T23:04,1996-05-17T00:44,1996-05-17T02:14,1996-05-17T09:53,-,1996-05-17T11:06,2,-,2,1,-,2,N,N,-,A,Fairly weak case
21,-,1996-05-27T11:59,,1996-05-27T15:00,1996-05-28T23:14,-,1996-05-29T07:18,-,-,1,2,-,2,Y,Y,-,A,Suspicious of length. Could be 2? SIR/HSS behind mixed region
22,-,1996-07-01T13:05,,1996-07-01T17:16,1996-07-02T08:50,-,1996-07-02T11:00,1,-,2,2,-,3,N,N,X,A,Turbulent. Interacting with next case?
23,-,1996-07-02T14:40,,1996-07-02T16:50,1996-07-02T22:47,-,1996-07-03T01:53,2,-,1,1,-,3,N,N,GX,A,Weak case. Interacting with prev case?
24,-,1996-08-07T08:23,,1996-08-07T11:59,1996-08-08T04:59,-,1996-08-08T10:18,2,-,1,1,-,2,N,N,-,A,Sheath fairly messy but otherwise straightforward
25,26,1996-12-24T01:26,,1996-12-24T03:07,1996-12-24T13:41,-,1996-12-24T16:23,2,-,1,1,-,1,N,N,X,A,Could be mini FR before sheath? Mixed is sheath from interaction with next case.
26,25,1996-12-24T13:41,,1996-12-24T16:23,1996-12-25T11:24,-,-,1,-,1,1,-,-,N,N,-,A,Relatively smooth event
27,-,1997-01-10T00:52,,1997-01-10T04:47,1997-01-10T18:20,1997-01-11T00:50,1997-01-11T03:06,1,-,1,3,-,-,N,Y?,GX,A,Could split in middle? SIR/HSS behind but interacting?
28,-,1997-02-09T12:50,1997-02-09T21:16,1997-02-10T02:52,1997-02-10T18:28,-,-,1,-,1,2,-,-,N,N,X,A,Weak but straightforward
29,-,1997-04-10T17:45,1997-04-11T06:00,1997-04-11T08:18,1997-04-11T14:56,-,1997-04-11T19:00,2,-,2,2,-,2,N,Y,X,A,SIR/HSS behind
30,-,1997-04-21T10:11,,1997-04-21T15:42,1997-04-22T11:38,1997-04-23T01:40,1997-04-23T10:30,2,-,2,2,-,3,N,N,X,A,Turbulent. Hard to ID bounds
31,32,1997-05-15T01:15,1997-05-15T05:21,1997-05-15T10:00,1997-05-15T23:29,-,1997-05-16T03:13,0,-,0,2,-,3,N,N,GX,A,Could move mixed earlier?
32,31,1997-05-16T03:13,1997-05-16T06:01,1997-05-16T08:26,1997-05-16T13:26,-,1997-05-16T15:55,2,-,1,2,-,2,N,N,G,A,Weak but relatively smooth B
33,-,1997-05-26T09:09,1997-05-26T16:12,1997-05-26T21:16,1997-05-27T06:20,-,1997-05-27T13:24,1,-,1,1,-,3,N,N,-,A,Mostly smooth
34,-,-,,1997-06-09T06:18,1997-06-09T23:01,-,-,-,-,3,3,-,-,N?,N,X,A,Not confident in anything. Could be two FR? Might have sheath?
35,-,1997-06-19T00:32,,1997-06-19T07:24,1997-06-19T16:00,1997-06-20T22:29,-,2,-,1,2,2,-,N,N,X,A,Extended smooth B with minimal rot = leg?
36,-,1997-07-15T03:10,1997-07-15T06:11,1997-07-15T09:00,1997-07-15T21:31,1997-07-16T11:00,-,2,-,1,2,-,1,N,N,-,A,Sheath could start later.
37,-,1997-08-03T10:10,1997-08-03T13:00,1997-08-03T13:55,1997-08-03T20:26,1997-08-03T23:38,1997-08-04T02:15,2,-,1,3,2,3,N,N,X,A,Basing sheath of n but could be later. Kink in FR B is moving to leg? Too smooth for mixed.
