#,Friends?,Sheath (t0),Sh/FR mix (t1),FR Start (t2),FR End (t3),Leg End (t4),Mixed End (t5),Unconf?,HSScat,Data Gap?,Comments
1,2,1995-02-07T18:48,1995-02-08T03:21,1995-02-08T06:10,1995-02-08T21:00,-,1995-02-09T01:50,,-,A,Some mixing between sheath and FR?
2,1,1995-02-09T01:50,-,1995-02-09T07:17,1995-02-10T01:21,-,1995-02-10T04:00,,-,A,Somewhat arbitrary split between prev mixed and this sheath
3,-,1995-03-04T00:36,-,1995-03-04T11:23,1995-03-05T00:09,-,1995-03-05T03:06,,-,A,
4,-,1995-03-06T02:11,-,1995-03-06T07:11,1995-03-07T02:23,-,-,,-,A,Fairly straightforward weak case
5,-,1995-03-23T09:45,-,1995-03-23T22:11,1995-03-24T16:11,-,-,Y,-,A,There is an enhancement but no obvious B rot. Not not certain what this is
6,-,1995-04-01T13:46,-,1995-04-01T16:34,1995-04-02T03:21,-,1995-04-02T05:43,,-,A,Little B rotation but Bx/Bz smooth
7,-,1995-04-03T06:43,-,1995-04-03T12:45,1995-04-04T12:52,-,-,,G,A,Not sure if G HSS is thing but do see compression behind
8,-,1995-04-05T07:11,-,1995-04-05T17:59,1995-04-06T12:31,-,1995-04-06T17:15,H,G,A,Is sheath just part of HSS plateau? FR is ugly and not really fast enough for much sheath
9,-,-,-,1995-05-13T10:19,1995-05-13T15:28,-,1995-05-13T16:54,,-,A,
10,-,1995-06-30T09:21,1995-06-30T14:23,1995-06-30T21:34,1995-07-01T06:59,-,1995-07-01T12:42,,-,A,Too large of a gap to interact with next?
11,-,-,-,1995-07-01T21:00,1995-07-02T10:26,-,1995-07-02T16:08,,-,A,Too large of a gap to interact with prev?
12,-,1995-08-22T12:56,-,1995-08-22T22:19,1995-08-23T18:43,-,-,,-,A,
13,-,-,-,1995-09-15T18:17,1995-09-16T03:09,-,-,,G,AW,Data gap so no clue what that compression is behind
14,-,1995-09-27T09:21,1995-09-27T11:48,1995-09-27T14:00,1995-09-27T21:00,-,-,Y,-,A,Not sure what Wind cat is doing. Might be weak unIDed HSS?
15,-,1995-10-18T10:40,-,1995-10-18T19:11,1995-10-19T17:54,-,1995-10-20T01:48,,G,A,
16,-,-,-,1995-12-02T12:30,1995-12-02T19:02,-,1995-12-02T21:55,,-,A,
17,-,1995-12-15T14:52,1995-12-16T00:28,1995-12-16T07:11,1995-12-16T19:11,-,1995-12-16T22:17,Y,-,A,Might be multi CMEs? Take Dreams sheath and make current ICE sheath bonus FR? Ugly but phi/T sigs
18,-,-,-,1996-02-15T15:40,1996-02-15T19:55,1996-02-16T03:25,1996-02-16T08:59,Y,-,AW,Ugly FR but with different regions and not sure on spliting
19,-,-,-,1996-04-04T12:21,1996-04-04T20:56,-,-,,-,A,
20,-,1996-05-16T23:04,1996-05-17T00:44,1996-05-17T02:14,1996-05-17T09:53,-,1996-05-17T11:06,,-,A,
21,-,1996-05-27T11:59,-,1996-05-27T15:00,1996-05-28T23:14,-,1996-05-29T07:18,,-,A,Suspicious of FR length but no clear splitting point
22,-,1996-07-01T13:05,-,1996-07-01T17:16,1996-07-02T08:50,-,1996-07-02T11:00,,X,A,Could be interacting with next but gap region pretty quiet?
23,-,1996-07-02T14:40,-,1996-07-02T16:50,1996-07-02T22:47,-,1996-07-03T01:53,,GX,A,Could be interacting with prev but gap region pretty quiet?
24,-,1996-08-07T08:23,-,1996-08-07T11:59,1996-08-08T04:59,-,1996-08-08T10:18,,X,A,Maybe interacting with very tail of HSS but prob negligible effects if so
25,26,1996-12-24T01:26,-,1996-12-24T03:07,1996-12-24T13:41,-,1996-12-24T16:23,,X,A,Add bonus mini FR right in front? (23 18:45ish). Mixed is from interaction with next
26,25,1996-12-24T13:41,-,1996-12-24T16:23,1996-12-25T11:24,-,-,,-,A,Two FR regions or just a messy single?
27,-,1997-01-10T00:52,-,1997-01-10T04:47,1997-01-10T18:20,1997-01-11T00:50,1997-01-11T03:06,,GX,A,Not sure on FR split but strong T change. Interacts with HSS behind
28,-,1997-02-09T12:50,1997-02-09T21:16,1997-02-10T02:52,1997-02-10T18:28,-,-,,X,A,Could probably make sheath three regions (split at 09 16:30)
29,-,1997-04-10T17:45,1997-04-11T06:00,1997-04-11T08:18,1997-04-11T14:56,-,1997-04-11T19:00,,X,A,Turbulent flux rope front set as mixed
30,-,1997-04-21T10:11,-,1997-04-21T15:42,1997-04-22T11:38,1997-04-23T01:40,1997-04-23T10:30,FR2,X,A,Not sure on splitting FR
31,32,1997-05-15T01:15,1997-05-15T05:21,1997-05-15T10:00,1997-05-15T23:29,-,1997-05-16T03:13,,GX,A,
32,31,1997-05-16T03:13,1997-05-16T06:01,1997-05-16T08:26,1997-05-16T13:26,-,1997-05-16T15:55,M1,G,A,Not sure on front mixed
33,-,1997-05-26T09:09,1997-05-26T16:12,1997-05-26T21:16,1997-05-27T06:20,-,1997-05-27T13:24,M1,-,A,Not sure on front mixed. Bx pretty turbulent but could change to two FR regs or just one big ugly one
34,-,-,-,1997-06-09T06:18,1997-06-09T23:01,-,-,Y,X,A,Completely uncertain. Might have sheath or be two events. Picked smoothest B rot part as FR
35,-,1997-06-19T00:32,-,1997-06-19T07:24,1997-06-19T15:54,1997-06-20T22:29,-,H,X,A,FR2 region could just be HSS?
36,-,1997-07-15T03:10,1997-07-15T06:11,1997-07-15T09:00,1997-07-15T21:31,1997-07-16T11:00,-,FR2,-,A,Back reg FR2 or mixed? Or nothing
37,-,1997-08-03T10:10,1997-08-03T13:00,1997-08-03T14:18,1997-08-03T20:14,1997-08-03T23:38,1997-08-04T02:07,,X,A,
38,-,1997-08-17T01:56,1997-08-17T04:50,1997-08-17T05:35,1997-08-17T17:26,-,1997-08-17T19:33,S;M1,X,A,Sheath start unclear but following others. Not sure on front mixed
39,-,1997-09-03T08:38,-,1997-09-03T13:26,1997-09-03T20:41,-,1997-09-04T03:39,M2,GX,A,Mixed from HSS pushing at back but not sure on exact range
40,-,1997-09-18T00:30,-,1997-09-18T04:07,1997-09-19T03:32,-,-,E,X,A,Is this a CME? Some B rot and low T but also super turbulent so I guessed and gave up. Maybe FR at 20 00:00
41,-,1997-09-21T16:51,1997-09-21T22:21,1997-09-22T01:30,1997-09-22T12:20,-,1997-09-22T17:46,S;M1,X,A,Sheath start unclear but following others. Not sure on front mixed
42,-,1997-10-01T01:41,1997-10-01T11:45,1997-10-01T17:00,1997-10-02T23:00,-,-,Y,X,AW,Ugly and data gaps so complete guess
43,-,1997-10-10T16:12,-,1997-10-10T22:00,1997-10-11T14:33,-,1997-10-12T02:18,Y,X,A,RC says 2 FR but don't really see first one (in sheath)
44,-,1997-10-27T01:38,-,1997-10-27T10:35,1997-10-28T04:57,-,-,Y,X,A,Weak case. Hard to say much with confidence
45,-,1997-11-06T22:25,-,1997-11-07T06:00,1997-11-08T05:56,1997-11-08T14:26,1997-11-08T19:23,Y,X,-,Maybe mixed in front but short. Could be multiple events. Could be regions of HSS
46,47,1997-11-22T09:12,1997-11-22T15:13,1997-11-22T18:51,1997-11-23T12:50,-,1997-11-23T19:00,M1,X,-,Not sure where to split front mixed region from sheath
47,46,1997-11-23T12:50,1997-11-24T03:43,1997-11-24T06:51,1997-11-25T00:00,-,1997-11-25T07:53,,-,-,
48,49,1997-12-10T04:33,-,1997-12-10T18:39,1997-12-11T10:14,-,1997-12-11T13:15,,X,-,Might have front mixed but cannot confidently add
49,48,1997-12-11T10:14,-,1997-12-11T13:15,1997-12-11T23:52,-,-,,-,-,Weak case but probably a thing based on T
50,-,1997-12-30T01:13,-,1997-12-30T09:35,1997-12-30T17:18,1997-12-31T06:45,1997-12-31T11:00,M2,X,A,Guesing where second mixed ends
51,52,1998-01-06T13:29,1998-01-06T22:50,1998-01-07T02:23,1998-01-08T07:28,-,1998-01-08T15:49,,X,W,
52,51,-,-,1998-01-08T15:49,1998-01-08T21:11,-,1998-01-08T23:52,M2,X,-,Guesing where second mixed ends
53,-,-,-,1998-01-09T08:23,1998-01-09T20:38,-,-,,-,-,
54,55,1998-01-20T07:08,-,1998-01-20T17:43,1998-01-21T04:00,-,-,,X,-,
55,54,1998-01-21T04:00,-,1998-01-21T07:00,1998-01-22T01:06,1998-01-22T10:50,1998-01-30T23:08,FR2;M2,-,-,Long and messy and guessing
56,-,1998-01-28T16:00,1998-01-29T13:12,1998-01-29T20:00,1998-01-30T06:24,1998-01-30T23:08,1998-01-31T02:08,Y,-,-,Complicated so massive guess
57,-,-,-,1998-02-02T13:13,1998-02-03T12:38,-,1998-02-04T02:22,Y,X,-,Wind says one big event. Dreams say 2. I'm not confident it is anything at all
58,-,1998-02-04T00:00,1998-02-04T02:22,1998-02-04T04:48,1998-02-05T22:30,-,1998-02-06T08:04,,X,-,Could maybe split FR at 05 03:50. Pretty smooth rot but huge
59,-,1998-02-17T06:28,1998-02-17T09:10,1998-02-17T10:00,1998-02-17T20:39,-,1998-02-18T07:50,,-,-,Unsure on back mixed region
