#,Friends?,Sheath (t0),Sh/FR mix (t1),FR Start (t2),FR End (t3),Mixed End (t4),HSScat,Comments
1,2,1995-02-07T18:48,-,1995-02-08T03:21,1995-02-08T21:00,1995-02-09T01:50,-,Y. Perturbed region at back from interaction with trailing event
2,1,-,1995-02-09T01:50,1995-02-09T07:17,1995-02-10T04:00,-,-,Y.Perturbed region at front from interaction with previous event
3,-,1995-03-04T00:36,-,1995-03-04T11:23,1995-03-05T00:09,1995-03-05T03:06,-,Y.SIE. Shock inside around 1995-03-04T20:00 but unclear what is driving it. Mixed region at back where FR becomes more turbulent.
4,-,-,1995-03-06T02:11,1995-03-06T07:11,1995-03-07T02:23,-,-,Y. Turbulent mixed region at front of FR but no clear pile up ahead
5,-,1995-03-23T09:45,-,1995-03-23T22:11,1995-03-24T16:11,-,-,PY. Not certain this is a CME but possibly a flank encounter. Probably too slow to be HSS
6,-,1995-04-01T13:46,-,1995-04-01T16:34,1995-04-02T05:43,-,-,M. PU. Not certain this is a CME but not obviously anything else. Small pile up ahead but not proper sheath
7,-,-,1995-04-03T06:43,1995-04-03T12:45,1995-04-04T12:52,-,G,Y. Mixed region where B still FR-like but n/T slightly enhanced
8,-,-,1995-04-05T07:11,1995-04-05T17:59,1995-04-06T17:15,-,G,M. Uncertain is CME. T is low and a vague hint of B rotation but no strong signatures
9,-,-,-,1995-05-13T10:19,1995-05-13T15:47,-,-,Y. 
10,-,1995-06-30T09:21,1995-06-30T14:23,1995-06-30T21:34,1995-07-01T06:59,1995-07-01T12:42,-,Y. PU.
11,-,-,-,1995-07-01T17:49,1995-07-02T10:26,1995-07-02T16:08,-,Y.
12,-,1995-08-22T12:56,1995-08-22T19:25,1995-08-22T22:19,1995-08-23T18:43,-,-,Y.
13,-,-,-,1995-09-15T18:17,1995-09-16T03:09,-,G,M. Uncertain is a CME but confident in bounds if real
14,-,-,1995-09-27T09:21,1995-09-27T14:00,1995-09-27T21:00,-,-,PY. Not fully certain is a CME but does appear to contain weak FR
15,-,1995-10-18T10:40,-,1995-10-18T19:11,1995-10-19T17:54,1995-10-20T01:48,G,Y. SIE. Rear mixed region is shocked portion of FR
16,-,-,-,-,-,-,-,PN. Back portion might be a small FR or the full thing a weak CS but cannot confidently add
17,-,-,-,1995-12-02T12:30,1995-12-02T19:31,-,-,PY. Weak but probably a CME
18,-,1995-12-15T04:39,1995-12-15T14:52,1995-12-16T07:11,1995-12-16T19:11,1995-12-16T22:17,-,Y. Uncertain on front mixed versus CS since relatively low beta but unstructured B
19,-,-,-,1996-02-15T15:07,1996-02-16T03:25,1996-02-16T08:59,-,M. Possible CS but not generally confident
20,-,-,-,1996-04-04T12:21,1996-04-04T20:56,-,-,Y.
